video_id,video_title,upload_date,view_count,like_count,comment_count
o5OmP1N_LFM,The Best SQL Platform Is Not What You Think,2024-01-24,432,13,1
_ZI9wfqEv_g,The Different Job Roles For Data Scientists In 2024,2024-01-03,1175,52,6
o3Yau5MJDZ4,When Does A Senior Data Scientist Actually Code? A Day In The Life,2023-12-06,1078,43,1
GSMCs3EmlmU,Short Primer on Tree-Based Machine Learning Models,2023-11-29,641,27,3
cEannyn5exA,What Visualization Frameworks Do You Need To Learn As A Data Scientist?,2023-11-16,1202,40,2
tT7STcGCvUY,Cleaning Data Like a 10x Data Scientist,2023-11-08,2077,94,2
O4FXdudaZAY,10 Ways Not To Suck On Coding Interviews For Data Science,2023-11-01,1091,32,0
q9HJ3hGjdo4,5 Skills Companies Look For in Data Science Candidates + 5 Project Ideas,2023-10-11,1266,56,0
WS0fM1agxTk,Master SQL Subqueries with Multiple Tables,2023-09-20,2347,58,4
mqHQwF6_r1E,6 Stages of Data Science Project,2023-09-13,1724,97,4
oJglmpO_esU,3 Data Science Projects To Land A Job,2023-09-06,3152,132,9
4uVxxj07cRE,Is SQL Really the ONLY Language You Need for Data Science?,2023-08-29,1469,69,8
3FRoEyC0hdI,How To Be a Lazy Data Scientist With AI Chrome Extensions,2023-08-16,1012,70,1
EDArFuFl0tU,3 Popular Machine Learning Algorithms In 5 Min,2023-08-10,810,28,3
0rSuMJB6IE4,6 Skills for the New Data Scientist,2023-07-26,1809,123,10
Y0hCQsCMIZM,15 ChatGPT Plugins for Data Science,2023-07-19,1245,74,6
pBC6DJRBzSw,Unsupervised Feature Selection for Machine Learning in 5 Mins,2023-07-12,1159,24,3
vuJi4lF52YU,Feature Selection for Machine Learning In 5 Mins,2023-07-05,884,29,3
rDteKsifPow,Filtered Based Feature Selection for Machine Learning In 5 Mins,2023-06-29,1244,41,4
1TgQf5WA9Mw,Analyzing Movie Reviews: A 3-Step Approach to Predict Movie Rating,2023-06-28,327,11,0
kcTrK4xxhPk,Mastering Movie Classification: Rotten Tomatoes Data Project [Part 2],2023-06-21,1189,19,1
l9DMUrJQAzY,Text Analysis Made Easy: Tokenization for ML Algorithms,2023-06-14,436,9,0
AuNuF7lCI8w,SMOTE: Tackling Imbalanced Data in Machine Learning,2023-06-09,615,25,0
Qh9ajFNeIEc,Data Project: Analyzing Review Sentiment for Accurate Ratings [Part 1],2023-06-08,893,21,0
J4rheMtvu6g,[Part 3]: Random Forest Classifier For A Facebook Data Science Project of Movie Ratings,2023-05-31,529,7,0
3iqH-yNQFUw,Exploring Decision Tree and Random Forest Classifiers | Machine Learning Algorithms,2023-05-30,1488,48,0
Ih6G5hnn30Q,[Part 2]: Exploring Decision Tree Classifiers For A Facebook Data Science Project of Movie Ratings,2023-05-24,594,16,1
REGDQyCBY0I,Rotten Tomatoes Movie Rating Prediction - Data Science Project,2023-05-23,244,7,0
cM12QtrhdLo,[Part 1]: Exploring and Visualizing Data For A Facebook Data Science Project of Movie Ratings,2023-05-17,1005,22,3
A9QzeBFj5GY,Python Pandas: Understanding Percentage Ranking Method,2023-05-16,357,13,0
Cg66PLiW9L0,Data Ranking: Python Pandas and SQL Equivalents [Part 2],2023-05-10,657,18,1
d2neUrrUSu0,Python for Data Analysis: Probability And Binomial Distribution,2023-05-02,1067,35,0
MO1TY636-YA,A Python Approach to Solving Probability Interview Question for Data Science,2023-04-26,1183,36,0
f6P1nuQXsC0,Using IFNULL() Function in MySQL to Avoid Null Value Errors,2023-04-25,564,16,0
rbRYsAgwPBA,Using IFNULL() on a Google SQL Interview Question,2023-04-19,2627,57,5
IWo8H8U_Ugk,Sorting and Ranking Data in Python: An Overview of the Rank() Function,2023-04-18,330,10,0
2uu0prXMhfU,How to Rank() Your Data In Python Pandas [Part 1],2023-04-12,1251,50,1
sF6gngs9myY,38 Data Science Tools For Beginners to Experts,2023-04-05,2149,150,12
Y5-eAFnxMjU,Maximizing Profits: Solving the Uber Data Project Scenario Two,2023-04-04,357,14,0
xlppLbv7nb0,Using Python Pandas for Building Uber&#39;s Business Models [Part 3],2023-03-29,1290,26,0
Mkhdz2TLP2E,Uber Data Project: Exploring Bonus Payout with Data Analysis,2023-03-29,690,25,0
-Lzi4Qoy2v4,Using Python Pandas To Answer Business Questions For An Uber Data Science Project [Part 2],2023-03-22,1082,30,3
pqeUTfNFBCU,Exploring and Cleaning Data: The First Step in Every Data Project,2023-03-14,7204,277,4
ZOthTms86Bw,Exploratory Data Analysis For An Uber Python Data Science Project [Part 1],2023-03-08,2556,83,0
9oNY9EV3MiM,Speed up your Python Data Manipulation with Lambda Filter Function,2023-02-28,988,29,0
YN-5NQO4iSU,Solving Amazon Interview Questions with Lambda Filter Function in Python,2023-02-22,1038,41,2
ltzJhIs8voQ,Mastering SQL String Manipulation with Regex_split_to_table() function,2023-02-21,581,37,2
BgN5hpl3WKc,Solving a Tricky Google SQL Question with String Manipulation,2023-02-16,2500,60,4
GxR66KdqBFU,Analyzing Datasets with Window Functions: First Value Syntax and Examples,2023-02-16,547,17,2
-KXluZNAYrA,Window Function in SQL: A Step-by-Step Guide to Solve Amazon Interview Question,2023-02-08,2369,78,10
